aptamer,total
MBE10a,4
MBE11a,4
MBE12a,4
MBE13a,0
MBE14a,3
MBE15a,2
MBE17a,4
MBE19a,2
MBE1a,2
MBE20a,3
MBE21a,3
MBE22a,1
MBE23a,2
MBE24a,2
MBE25a,1
MBE26a,4
MBE27a,1
MBE28a,3
MBE29a,1
MBE2a,3
MBE30a,1
MBE31a,5
MBE32a,3
MBE33a,1
MBE34a,1
MBE35a,3
MBE36a,3
MBE37a,1
MBE38a,2
MBE39a,4
MBE3a,1
MBE40a,4
MBE41a,0
MBE42a,3
MBE43a,3
MBE44a,0
MBE45a,2
MBE46a,4
MBE47a,4
MBE48a,4
MBE49a,0
MBE4a,1
MBE50a,2
MBE51a,3
MBE52a,2
MBE53a,1
MBE54a,2
MBE55a,4
MBE57a,1
MBE59a,4
MBE5a,3
MBE62a,2
MBE63a,1
MBE64a,2
MBE65a,4
MBE68a,1
MBE6a,2
MBE70a,1
MBE71a,1
MBE72a,3
MBE7a,4
MBE8a,1
MBE9a,3
